AREA,SUB AREA,AGE GROUP,SEASON,YEAR,WEEK,THRESHOLD,BASELINE,PERCENTPI,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,TOTAL DEATHS,PERCENT COMPLETE
National,,All,2014-15,2014,40,6.6,6.2,6.4,6,"3,075","48,366",> 100%
National,,All,2014-15,2014,41,6.7,6.3,6.4,8,"3,142","49,360",> 100%
National,,All,2014-15,2014,42,6.8,6.4,6.3,13,"3,085","49,238",> 100%
National,,All,2014-15,2014,43,6.9,6.5,6.5,11,"3,202","49,071",> 100%
National,,All,2014-15,2014,44,7,6.6,6.5,17,"3,154","49,007",> 100%
National,,All,2014-15,2014,45,7.1,6.8,6.3,11,"3,208","51,049",> 100%
National,,All,2014-15,2014,46,7.3,6.9,6.4,18,"3,240","50,550",> 100%
National,,All,2014-15,2014,47,7.4,7,6.5,31,"3,380","52,533",> 100%
National,,All,2014-15,2014,48,7.5,7.1,6.7,46,"3,419","51,866",> 100%
National,,All,2014-15,2014,49,7.6,7.2,7,83,"3,620","52,748",> 100%
National,,All,2014-15,2014,50,7.7,7.3,7.4,169,"3,785","53,554",> 100%
National,,All,2014-15,2014,51,7.8,7.4,8.1,312,"4,098","54,622",> 100%
National,,All,2014-15,2014,52,7.9,7.5,8.5,512,"4,264","56,028",> 100%
National,,All,2014-15,2014,53,8,7.6,10.2,"1,014","5,034","59,346",> 100%
National,,All,2014-15,2015,1,8.1,7.7,10.8,"1,100","5,576","61,750",> 100%
National,,All,2014-15,2015,2,8.2,7.8,10.7,983,"5,589","61,153",> 100%
National,,All,2014-15,2015,3,8.2,7.8,10.1,711,"5,184","58,643",> 100%
National,,All,2014-15,2015,4,8.3,7.9,9.5,586,"4,857","57,292",> 100%
National,,All,2014-15,2015,5,8.3,7.9,9.1,484,"4,740","57,362",> 100%
National,,All,2014-15,2015,6,8.3,7.9,8.8,405,"4,585","56,650",> 100%
National,,All,2014-15,2015,7,8.3,7.9,8.4,285,"4,501","56,669",> 100%
National,,All,2014-15,2015,8,8.3,7.9,8.5,221,"4,559","56,328",> 100%
National,,All,2014-15,2015,9,8.3,7.9,8.4,190,"4,546","56,502",> 100%
National,,All,2014-15,2015,10,8.2,7.8,8.3,159,"4,446","55,732",> 100%
National,,All,2014-15,2015,11,8.2,7.8,8,139,"4,196","54,455",> 100%
National,,All,2014-15,2015,12,8.1,7.7,7.5,121,"3,902","53,400",> 100%
National,,All,2014-15,2015,13,8,7.6,7.4,99,"3,843","53,196",> 100%
National,,All,2014-15,2015,14,7.9,7.5,7.5,100,"3,838","52,833",> 100%
National,,All,2014-15,2015,15,7.8,7.4,7.6,75,"3,925","52,869",> 100%
National,,All,2014-15,2015,16,7.7,7.3,7.5,63,"3,807","51,615",> 100%
National,,All,2014-15,2015,17,7.6,7.2,7.2,50,"3,652","51,477",> 100%
National,,All,2014-15,2015,18,7.5,7.1,6.9,28,"3,550","51,683",> 100%
National,,All,2014-15,2015,19,7.4,7,6.9,22,"3,475","50,710",> 100%
National,,All,2014-15,2015,20,7.2,6.9,6.6,14,"3,240","49,386",> 100%
National,,All,2014-15,2015,21,7.1,6.7,6.8,18,"3,373","49,842",> 100%
